Team,Season,home_goals,away_goals
Chievo Verona,2008/2009,0,1
Fiorentina,2008/2009,1,0
Milan,2008/2009,1,4
Roma,2008/2009,0,3
Sampdoria,2008/2009,1,0
Torino,2008/2009,3,3
Udinese,2008/2009,3,2
Palermo,2008/2009,2,1
Napoli,2008/2009,2,1
Lecce,2008/2009,1,1
Reggio Calabria,2008/2009,0,0
Lazio,2008/2009,3,1
Juventus,2008/2009,2,1
Inter,2008/2009,0,2
Genoa,2008/2009,1,1
Bologna,2008/2009,0,1
Siena,2008/2009,1,0
Fiorentina,2008/2009,1,3
Udinese,2008/2009,2,2
Roma,2008/2009,2,2
Palermo,2008/2009,1,0
Torino,2008/2009,1,1
Milan,2008/2009,0,3
Cagliari,2008/2009,2,3
Catania,2008/2009,1,0
Lecce,2008/2009,1,2
Sampdoria,2008/2009,1,1
Siena,2008/2009,2,2
Napoli,2008/2009,2,1
Genoa,2008/2009,3,0
Atalanta,2008/2009,0,1
Reggio Calabria,2008/2009,1,1
Lazio,2008/2009,1,0
Bologna,2008/2009,1,0
Juventus,2008/2009,1,2
Inter,2008/2009,0,3
Chievo Verona,2008/2009,1,1
Roma,2008/2009,3,0
Sampdoria,2008/2009,1,1
Udinese,2008/2009,1,1
Torino,2008/2009,1,1
Fiorentina,2008/2009,3,3
Catania,2008/2009,1,1
Bologna,2008/2009,1,1
Palermo,2008/2009,0,0
Milan,2008/2009,2,1
Lecce,2008/2009,2,0
Genoa,2008/2009,0,1
Siena,2008/2009,1,0
Udinese,2008/2009,1,0
Atalanta,2008/2009,1,0
Inter,2008/2009,1,2
Chievo Verona,2008/2009,2,1
Juventus,2008/2009,0,2
Lazio,2008/2009,0,2
Cagliari,2008/2009,1,0
Reggio Calabria,2008/2009,2,0
Chievo Verona,2008/2009,0,2
Lecce,2008/2009,2,0
Genoa,2008/2009,0,0
Milan,2008/2009,2,1
Bologna,2008/2009,2,0
Napoli,2008/2009,1,0
Fiorentina,2008/2009,1,1
Roma,2008/2009,3,3
Torino,2008/2009,0,0
Catania,2008/2009,0,4
Sampdoria,2008/2009,3,0
Udinese,2008/2009,1,1
Siena,2008/2009,0,3
Reggio Calabria,2008/2009,0,0
Palermo,2008/2009,0,2
Lazio,2008/2009,0,2
Juventus,2008/2009,0,1
Inter,2008/2009,0,2
Cagliari,2008/2009,1,1
Atalanta,2008/2009,3,0
Genoa,2008/2009,0,1
Catania,2008/2009,1,1
Lecce,2008/2009,5,2
Bologna,2008/2009,4,1
Milan,2008/2009,1,5
Napoli,2008/2009,1,1
Roma,2008/2009,2,2
Torino,2008/2009,2,0
Chievo Verona,2008/2009,0,3
Fiorentina,2008/2009,2,0
Palermo,2008/2009,1,0
Reggio Calabria,2008/2009,3,0
Milan,2008/2009,0,0
Lazio,2008/2009,1,0
Udinese,2008/2009,2,0
Cagliari,2008/2009,0,1
Siena,2008/2009,1,0
Atalanta,2008/2009,2,2
Sampdoria,2008/2009,1,3
Juventus,2008/2009,1,4
Napoli,2008/2009,0,0
Inter,2008/2009,1,3
Chievo Verona,2008/2009,1,1
Reggio Calabria,2008/2009,3,0
Genoa,2008/2009,2,1
Lazio,2008/2009,4,1
Siena,2008/2009,1,1
Bologna,2008/2009,1,0
Atalanta,2008/2009,1,0
Juventus,2008/2009,0,1
Bologna,2008/2009,2,1
Torino,2008/2009,1,0
Catania,2008/2009,1,0
Chievo Verona,2008/2009,3,3
Fiorentina,2008/2009,1,2
Inter,2008/2009,0,1
Genoa,2008/2009,0,1
Lazio,2008/2009,2,0
Lecce,2008/2009,2,0
Napoli,2008/2009,2,2
Roma,2008/2009,4,2
Siena,2008/2009,1,4
Udinese,2008/2009,0,2
Milan,2008/2009,0,1
Juventus,2008/2009,3,2
Palermo,2008/2009,2,2
Catania,2008/2009,2,1
Cagliari,2008/2009,2,1
Atalanta,2008/2009,0,0
Sampdoria,2008/2009,1,3
Fiorentina,2008/2009,3,1
Sampdoria,2008/2009,2,0
Lazio,2008/2009,0,1
Lecce,2008/2009,3,2
Bologna,2008/2009,4,1
Inter,2008/2009,1,1
Torino,2008/2009,5,1
Napoli,2008/2009,2,0
Reggio Calabria,2008/2009,0,1
Chievo Verona,2008/2009,0,2
Catania,2008/2009,2,1
Atalanta,2008/2009,0,1
Genoa,2008/2009,2,0
Cagliari,2008/2009,3,3
Palermo,2008/2009,3,0
Roma,2008/2009,4,1
Inter,2008/2009,1,0
Juventus,2008/2009,2,2
Siena,2008/2009,1,0
Udinese,2008/2009,1,2
Lecce,2008/2009,2,2
Atalanta,2008/2009,3,0
Cagliari,2008/2009,5,1
Chievo Verona,2008/2009,0,0
Lazio,2008/2009,2,0
Milan,2008/2009,0,2
Napoli,2008/2009,2,1
Sampdoria,2008/2009,3,1
Torino,2008/2009,1,0
Reggio Calabria,2008/2009,1,2
Napoli,2008/2009,1,1
Bologna,2008/2009,1,1
Udinese,2008/2009,1,3
Juventus,2008/2009,1,1
Fiorentina,2008/2009,0,2
Palermo,2008/2009,1,0
Genoa,2008/2009,1,1
Roma,2008/2009,2,2
Inter,2008/2009,2,2
Reggio Calabria,2008/2009,5,0
Sampdoria,2008/2009,1,0
Cagliari,2008/2009,2,1
Torino,2008/2009,1,2
Catania,2008/2009,4,3
Atalanta,2008/2009,2,2
Siena,2008/2009,3,0
Chievo Verona,2008/2009,2,2
Lazio,2008/2009,2,0
Lecce,2008/2009,2,1
Milan,2008/2009,2,1
Bologna,2008/2009,0,0
Udinese,2008/2009,2,2
Roma,2008/2009,2,3
Reggio Calabria,2008/2009,1,0
Palermo,2008/2009,2,2
Napoli,2008/2009,3,1
Juventus,2008/2009,0,3
Inter,2008/2009,2,1
Genoa,2008/2009,2,3
Fiorentina,2008/2009,1,1
Lecce,2008/2009,4,1
Atalanta,2008/2009,4,3
Cagliari,2008/2009,6,2
Sampdoria,2008/2009,2,2
Milan,2008/2009,0,2
Catania,2008/2009,3,1
Lazio,2008/2009,2,0
Chievo Verona,2008/2009,3,0
Siena,2008/2009,1,1
Torino,2008/2009,3,2
Sampdoria,2008/2009,0,0
Milan,2008/2009,1,2
Palermo,2008/2009,2,1
Fiorentina,2008/2009,3,0
Catania,2008/2009,1,1
Lecce,2008/2009,1,0
Roma,2008/2009,3,1
Torino,2008/2009,1,1
Udinese,2008/2009,0,3
Cagliari,2008/2009,1,0
Siena,2008/2009,2,1
Lazio,2008/2009,1,3
Juventus,2008/2009,0,0
Atalanta,2008/2009,2,0
Reggio Calabria,2008/2009,1,0
Inter,2008/2009,1,0
Napoli,2008/2009,0,1
Chievo Verona,2008/2009,1,0
Genoa,2008/2009,1,0
Cagliari,2008/2009,2,0
Torino,2008/2009,2,0
Roma,2008/2009,1,0
Catania,2008/2009,1,1
Milan,2008/2009,0,0
Lecce,2008/2009,1,1
Palermo,2008/2009,1,2
Bologna,2008/2009,2,1
Napoli,2008/2009,3,2
Fiorentina,2008/2009,0,2
Sampdoria,2008/2009,4,2
Sampdoria,2008/2009,3,0
Juventus,2008/2009,2,1
Inter,2008/2009,0,4
Cagliari,2008/2009,0,1
Udinese,2008/2009,2,2
Siena,2008/2009,1,0
Reggio Calabria,2008/2009,3,0
Atalanta,2008/2009,1,1
Palermo,2008/2009,2,0
Lazio,2008/2009,3,1
Bologna,2008/2009,2,0
Catania,2008/2009,1,1
Roma,2008/2009,3,1
Napoli,2008/2009,0,1
Lecce,2008/2009,2,0
Fiorentina,2008/2009,1,3
Torino,2008/2009,1,0
Genoa,2008/2009,0,0
Chievo Verona,2008/2009,2,0
Milan,2008/2009,0,1
Atalanta,2008/2009,2,1
Sampdoria,2008/2009,2,0
Reggio Calabria,2008/2009,3,0
Siena,2008/2009,2,1
Palermo,2008/2009,1,1
Cagliari,2008/2009,2,1
Inter,2008/2009,0,0
Lazio,2008/2009,1,2
Udinese,2008/2009,0,2
Juventus,2008/2009,1,2
Fiorentina,2009/2010,1,1
Sampdoria,2009/2010,1,2
Roma,2009/2010,3,2
Bari,2009/2010,1,1
Chievo Verona,2009/2010,1,0
Atalanta,2009/2010,1,0
Cagliari,2009/2010,0,0
Napoli,2009/2010,2,1
Milan,2009/2010,1,2
Parma,2009/2010,2,2
Siena,2009/2010,2,1
Chievo Verona,2009/2010,1,2
Fiorentina,2009/2010,2,1
Palermo,2009/2010,5,3
Sampdoria,2009/2010,5,1
Cagliari,2009/2010,0,1
Atalanta,2009/2010,1,0
Milan,2009/2010,2,2
Bari,2009/2010,2,0
Roma,2009/2010,2,1
Atalanta,2009/2010,3,0
Udinese,2009/2010,1,1
Catania,2009/2010,3,1
Napoli,2009/2010,2,3
Inter,2009/2010,0,2
Genoa,2009/2010,0,0
Bologna,2009/2010,2,1
Bari,2009/2010,0,0
Lazio,2009/2010,1,1
Parma,2009/2010,2,0
Juventus,2009/2010,2,5
Livorno,2009/2010,1,0
Palermo,2009/2010,3,1
Sampdoria,2009/2010,2,0
Napoli,2009/2010,0,0
Siena,2009/2010,4,2
Roma,2009/2010,1,1
Milan,2009/2010,1,2
Chievo Verona,2009/2010,2,0
Fiorentina,2009/2010,0,1
Inter,2009/2010,1,3
Parma,2009/2010,2,3
Udinese,2009/2010,1,0
Genoa,2009/2010,2,1
Cagliari,2009/2010,4,3
Lazio,2009/2010,0,0
Catania,2009/2010,1,1
Bari,2009/2010,3,1
Chievo Verona,2009/2010,2,1
Atalanta,2009/2010,0,2
Roma,2009/2010,1,2
Siena,2009/2010,2,1
Juventus,2009/2010,2,0
Milan,2009/2010,0,2
Palermo,2009/2010,1,0
Sampdoria,2009/2010,3,0
Fiorentina,2009/2010,1,0
Bologna,2009/2010,0,0
Napoli,2009/2010,1,1
Livorno,2009/2010,2,0
Udinese,2009/2010,2,1
Atalanta,2009/2010,2,0
Parma,2009/2010,2,2
Inter,2009/2010,2,1
Chievo Verona,2009/2010,0,2
Sampdoria,2009/2010,3,0
Bari,2009/2010,3,2
Cagliari,2009/2010,2,1
Lazio,2009/2010,1,0
Catania,2009/2010,3,2
Inter,2009/2010,1,1
Juventus,2009/2010,3,1
Napoli,2009/2010,3,3
Livorno,2009/2010,0,1
Fiorentina,2009/2010,2,1
Genoa,2009/2010,1,0
Palermo,2009/2010,0,2
Bologna,2009/2010,2,1
Roma,2009/2010,0,0
Udinese,2009/2010,2,1
Atalanta,2009/2010,2,2
Milan,2009/2010,1,2
Bari,2009/2010,1,1
Lazio,2009/2010,1,0
Catania,2009/2010,1,2
Sampdoria,2009/2010,3,1
Chievo Verona,2009/2010,2,0
Siena,2009/2010,1,0
Parma,2009/2010,2,0
Cagliari,2009/2010,2,1
Napoli,2009/2010,0,2
Udinese,2009/2010,2,0
Roma,2009/2010,2,2
Bologna,2009/2010,1,0
Inter,2009/2010,0,1
Livorno,2009/2010,4,1
Genoa,2009/2010,5,2
Juventus,2009/2010,1,2
Palermo,2009/2010,1,1
Fiorentina,2009/2010,1,5
Cagliari,2009/2010,0,1
Bari,2009/2010,2,1
Catania,2009/2010,2,0
Siena,2009/2010,4,3
Milan,2009/2010,0,3
Parma,2009/2010,2,1
Sampdoria,2009/2010,1,0
Atalanta,2009/2010,1,0
Chievo Verona,2009/2010,1,0
Lazio,2009/2010,1,1
Genoa,2009/2010,0,1
Bologna,2009/2010,0,0
Siena,2009/2010,1,3
Lazio,2009/2010,1,2
Palermo,2009/2010,1,0
Inter,2009/2010,0,4
Livorno,2009/2010,3,1
Catania,2009/2010,2,1
Juventus,2009/2010,1,3
Udinese,2009/2010,3,1
Bologna,2009/2010,1,2
Catania,2009/2010,1,1
Genoa,2009/2010,3,0
Inter,2009/2010,2,2
Juventus,2009/2010,1,0
Lazio,2009/2010,3,0
Livorno,2009/2010,3,0
Palermo,2009/2010,0,0
Siena,2009/2010,4,0
Udinese,2009/2010,0,0
Atalanta,2009/2010,2,0
Bari,2009/2010,2,1
Cagliari,2009/2010,1,1
Chievo Verona,2009/2010,1,1
Fiorentina,2009/2010,3,0
Milan,2009/2010,2,0
Napoli,2009/2010,0,2
Parma,2009/2010,3,0
Roma,2009/2010,1,2
Sampdoria,2009/2010,2,3
Atalanta,2009/2010,2,0
Bologna,2009/2010,1,1
Fiorentina,2009/2010,2,2
Genoa,2009/2010,0,0
Inter,2009/2010,1,1
Lazio,2009/2010,1,1
Livorno,2009/2010,1,1
Palermo,2009/2010,4,2
Siena,2009/2010,2,1
Udinese,2009/2010,1,1
Bari,2009/2010,1,0
Cagliari,2009/2010,3,0
Catania,2009/2010,0,1
Chievo Verona,2009/2010,1,0
Juventus,2009/2010,1,1
Milan,2009/2010,0,0
Napoli,2009/2010,3,1
Parma,2009/2010,2,1
Roma,2009/2010,0,1
Sampdoria,2009/2010,1,2
Atalanta,2009/2010,0,0
Bari,2009/2010,3,1
Bologna,2009/2010,0,1
Fiorentina,2009/2010,2,0
Genoa,2009/2010,3,2
Inter,2009/2010,0,0
Lazio,2009/2010,0,2
Palermo,2009/2010,4,1
Siena,2009/2010,0,1
Udinese,2009/2010,3,2
Catania,2009/2010,1,0
Chievo Verona,2009/2010,0,1
Juventus,2009/2010,1,2
Lazio,2009/2010,3,1
Livorno,2009/2010,2,1
Milan,2009/2010,0,2
Napoli,2009/2010,0,0
Parma,2009/2010,2,0
Sampdoria,2009/2010,0,0
Udinese,2009/2010,3,0
Atalanta,2009/2010,3,1
Bari,2009/2010,4,0
Bologna,2009/2010,3,4
Cagliari,2009/2010,2,1
Fiorentina,2009/2010,1,1
Inter,2009/2010,2,3
Palermo,2009/2010,0,2
Roma,2009/2010,2,2
Sampdoria,2009/2010,1,0
Siena,2009/2010,1,2
Catania,2009/2010,2,2
Chievo Verona,2009/2010,1,0
Genoa,2009/2010,0,0
Juventus,2009/2010,1,2
Lazio,2009/2010,2,1
Livorno,2009/2010,1,0
Milan,2009/2010,0,0
Napoli,2009/2010,2,1
Parma,2009/2010,1,1
Udinese,2009/2010,0,0
Atalanta,2009/2010,1,0
Bari,2009/2010,0,2
Cagliari,2009/2010,5,3
Chievo Verona,2009/2010,1,0
Fiorentina,2009/2010,1,3
Inter,2009/2010,3,1
Palermo,2009/2010,3,2
Roma,2009/2010,3,3
Sampdoria,2009/2010,1,1
Siena,2009/2010,3,3
Bologna,2009/2010,1,0
Catania,2009/2010,1,1
Genoa,2009/2010,3,0
Inter,2009/2010,1,1
Juventus,2009/2010,1,0
Lazio,2009/2010,0,2
Livorno,2009/2010,3,0
Napoli,2009/2010,1,1
Parma,2009/2010,1,1
Udinese,2009/2010,4,2
Sampdoria,2009/2010,0,1
Chievo Verona,2009/2010,0,2
Cagliari,2009/2010,1,0
Napoli,2009/2010,4,1
Parma,2009/2010,2,0
Juventus,2009/2010,0,2
Milan,2009/2010,0,0
Bari,2009/2010,1,1
Roma,2009/2010,1,2
Catania,2009/2010,4,2
Cagliari,2009/2010,3,1
Chievo Verona,2009/2010,0,0
Fiorentina,2009/2010,1,0
Juventus,2009/2010,3,1
Livorno,2009/2010,3,0
Milan,2009/2010,1,0
Palermo,2009/2010,2,2
Roma,2009/2010,0,2
Sampdoria,2009/2010,2,1
Siena,2009/2010,2,0
Atalanta,2009/2010,2,1
Bari,2009/2010,1,1
Bologna,2009/2010,3,1
Cagliari,2009/2010,1,1
Catania,2009/2010,1,0
Genoa,2009/2010,0,0
Inter,2009/2010,2,1
Lazio,2009/2010,1,1
Parma,2009/2010,0,0
Udinese,2009/2010,4,1
Bologna,2009/2010,3,0
Fiorentina,2009/2010,1,1
Juventus,2009/2010,3,0
Livorno,2009/2010,1,1
Milan,2009/2010,2,3
Napoli,2009/2010,1,1
Palermo,2009/2010,2,0
Roma,2009/2010,0,1
Sampdoria,2009/2010,1,2
Siena,2009/2010,2,0
Atalanta,2009/2010,2,1
Bari,2009/2010,3,2
Cagliari,2009/2010,1,0
Catania,2009/2010,2,2
Chievo Verona,2009/2010,3,1
Genoa,2009/2010,1,0
Inter,2009/2010,2,2
Lazio,2009/2010,2,3
Parma,2009/2010,2,3
Udinese,2009/2010,0,2
Bologna,2009/2010,1,1
Fiorentina,2009/2010,2,1
Genoa,2009/2010,2,3
Juventus,2009/2010,2,0
Livorno,2009/2010,2,0
Milan,2009/2010,2,1
Napoli,2009/2010,1,2
Palermo,2009/2010,2,2
Roma,2009/2010,1,2
Siena,2009/2010,2,2
Atalanta,2009/2010,3,1
Bari,2009/2010,3,0
Cagliari,2009/2010,0,0
Catania,2009/2010,3,1
Chievo Verona,2009/2010,0,2
Lazio,2009/2010,1,2
Milan,2009/2010,3,1
Parma,2009/2010,2,1
Sampdoria,2009/2010,1,2
Siena,2009/2010,4,1
Bologna,2009/2010,1,1
Fiorentina,2009/2010,1,0
Genoa,2009/2010,3,0
Inter,2009/2010,0,2
Juventus,2009/2010,1,1
Livorno,2009/2010,2,0
Napoli,2009/2010,1,2
Palermo,2009/2010,1,2
Roma,2009/2010,1,2
Udinese,2009/2010,2,2
Atalanta,2009/2010,2,0
Bari,2009/2010,3,3
Cagliari,2009/2010,2,1
Catania,2009/2010,1,1
Chievo Verona,2009/2010,4,3
Lazio,2009/2010,1,2
Milan,2009/2010,1,0
Parma,2009/2010,2,3
Sampdoria,2009/2010,1,1
Siena,2009/2010,1,1
Bologna,2009/2010,1,1
Fiorentina,2009/2010,2,0
Genoa,2009/2010,1,0
Inter,2009/2010,0,1
Juventus,2009/2010,3,0
Livorno,2009/2010,4,1
Napoli,2009/2010,1,0
Palermo,2009/2010,1,2
Roma,2009/2010,0,2
Udinese,2009/2010,3,1
Atalanta,2009/2010,4,1
Inter,2009/2010,1,2
Lazio,2009/2010,1,1
Genoa,2009/2010,3,1
Livorno,2009/2010,2,0
Bologna,2009/2010,1,0
Udinese,2009/2010,0,0
Palermo,2009/2010,1,0
Fiorentina,2009/2010,3,1
Siena,2009/2010,4,1
Catania,2009/2010,0,0
Cagliari,2009/2010,0,1
Livorno,2009/2010,2,0
Sampdoria,2009/2010,2,0
Juventus,2009/2010,2,2
Napoli,2009/2010,3,1
Parma,2009/2010,1,2
Roma,2009/2010,3,3
Chievo Verona,2009/2010,0,0
Milan,2009/2010,1,0
Roma,2009/2010,1,1
Atalanta,2009/2010,1,1
Bologna,2009/2010,1,1
Palermo,2009/2010,1,1
Fiorentina,2009/2010,0,1
Bari,2009/2010,0,0
Siena,2009/2010,2,1
Cagliari,2009/2010,0,2
Inter,2009/2010,1,0
Genoa,2009/2010,2,0
Milan,2009/2010,1,1
Catania,2009/2010,0,0
Genoa,2009/2010,1,3
Chievo Verona,2009/2010,1,2
Lazio,2009/2010,0,0
Udinese,2009/2010,2,1
Juventus,2009/2010,2,0
Napoli,2009/2010,2,1
Parma,2009/2010,1,1
Livorno,2009/2010,0,0
Cagliari,2009/2010,2,1
Bari,2009/2010,1,2
Inter,2009/2010,0,5
Fiorentina,2009/2010,1,1
Sampdoria,2009/2010,1,1
Palermo,2009/2010,1,2
Roma,2009/2010,2,1
Bologna,2009/2010,2,1
Siena,2009/2010,1,0
Atalanta,2009/2010,1,3
Parma,2009/2010,3,1
Lazio,2009/2010,2,0
Genoa,2009/2010,3,2
Milan,2009/2010,1,2
Napoli,2009/2010,0,1
Catania,2009/2010,2,1
Udinese,2009/2010,1,0
Livorno,2009/2010,0,1
Bologna,2009/2010,4,1
Juventus,2009/2010,0,1
Inter,2010/2011,0,0
Juventus,2010/2011,1,0
Genoa,2010/2011,0,1
Lazio,2010/2011,2,0
Cesena,2010/2011,0,0
Brescia,2010/2011,2,0
Cagliari,2010/2011,0,0
Lecce,2010/2011,4,0
Napoli,2010/2011,1,1
Catania,2010/2011,2,1
Parma,2010/2011,2,0
Genoa,2010/2011,1,0
Catania,2010/2011,0,0
Cagliari,2010/2011,1,1
Roma,2010/2011,0,2
Cesena,2010/2011,3,1
Brescia,2010/2011,1,1
Chievo Verona,2010/2011,1,0
Lecce,2010/2011,2,0
Milan,2010/2011,2,3
Palermo,2010/2011,3,1
Inter,2010/2011,1,1
Sampdoria,2010/2011,1,0
Fiorentina,2010/2011,3,2
Bologna,2010/2011,1,0
Bari,2010/2011,0,0
Lazio,2010/2011,1,0
Udinese,2010/2011,1,0
Napoli,2010/2011,0,1
Juventus,2010/2011,1,1
Catania,2010/2011,3,1
Napoli,2010/2011,2,0
Roma,2010/2011,1,1
Milan,2010/2011,0,1
Cesena,2010/2011,1,0
Genoa,2010/2011,0,1
Brescia,2010/2011,1,0
Parma,2010/2011,0,1
Chievo Verona,2010/2011,0,0
Lecce,2010/2011,4,0
Juventus,2010/2011,0,2
Cagliari,2010/2011,1,2
Bari,2010/2011,1,0
Palermo,2010/2011,1,2
Inter,2010/2011,2,1
Sampdoria,2010/2011,2,3
Fiorentina,2010/2011,1,0
Udinese,2010/2011,2,0
Bologna,2010/2011,4,1
Lazio,2010/2011,1,1
Parma,2010/2011,5,2
Chievo Verona,2010/2011,2,1
Napoli,2010/2011,3,1
Milan,2010/2011,1,1
Genoa,2010/2011,0,0
Roma,2010/2011,3,1
Lecce,2010/2011,3,2
Catania,2010/2011,1,1
Fiorentina,2010/2011,1,1
Cesena,2010/2011,1,1
Juventus,2010/2011,1,3
Bologna,2010/2011,0,2
Brescia,2010/2011,3,0
Udinese,2010/2011,2,1
Roma,2010/2011,2,2
Palermo,2010/2011,1,0
Cagliari,2010/2011,1,0
Bari,2010/2011,3,0
Genoa,2010/2011,1,3
Inter,2010/2011,3,1
Milan,2010/2011,0,3
Lazio,2010/2011,2,1
Sampdoria,2010/2011,1,0
Fiorentina,2010/2011,2,1
Chievo Verona,2010/2011,3,2
Catania,2010/2011,3,0
Cesena,2010/2011,3,2
Napoli,2010/2011,0,1
Parma,2010/2011,3,1
Bari,2010/2011,1,0
Brescia,2010/2011,1,0
Cagliari,2010/2011,1,0
Palermo,2010/2011,1,1
Inter,2010/2011,1,2
Udinese,2010/2011,3,2
Lecce,2010/2011,1,0
Juventus,2010/2011,1,1
Bologna,2010/2011,0,0
Genoa,2010/2011,0,1
Roma,2010/2011,0,1
Lazio,2010/2011,0,0
Sampdoria,2010/2011,3,0
Bari,2010/2011,0,1
Parma,2010/2011,1,4
Cesena,2010/2011,1,2
Napoli,2010/2011,3,1
Milan,2010/2011,0,1
Fiorentina,2010/2011,1,1
Catania,2010/2011,4,2
Chievo Verona,2010/2011,2,0
Bologna,2010/2011,0,2
Cagliari,2010/2011,1,2
Genoa,2010/2011,0,0
Roma,2010/2011,2,1
Juventus,2010/2011,3,0
Inter,2010/2011,1,2
Lecce,2010/2011,1,2
Udinese,2010/2011,4,4
Palermo,2010/2011,0,0
Brescia,2010/2011,3,2
Bari,2010/2011,2,2
Fiorentina,2010/2011,1,0
Bologna,2010/2011,3,1
Sampdoria,2010/2011,3,3
Udinese,2010/2011,2,1
Chievo Verona,2010/2011,1,3
Milan,2010/2011,2,0
Parma,2010/2011,2,1
Roma,2010/2011,5,1
Palermo,2010/2011,3,2
Bari,2010/2011,2,1
Chievo Verona,2010/2011,1,1
Fiorentina,2010/2011,0,0
Udinese,2010/2011,2,4
Bologna,2010/2011,4,1
Sampdoria,2010/2011,1,0
Roma,2010/2011,0,1
Milan,2010/2011,1,1
Palermo,2010/2011,3,1
Parma,2010/2011,2,0
Genoa,2010/2011,0,0
Inter,2010/2011,3,1
Cesena,2010/2011,2,0
Juventus,2010/2011,0,0
Brescia,2010/2011,1,0
Lazio,2010/2011,3,1
Catania,2010/2011,2,0
Lecce,2010/2011,1,1
Napoli,2010/2011,0,2
Cagliari,2010/2011,3,0
Sampdoria,2010/2011,4,0
Roma,2010/2011,0,1
Udinese,2010/2011,1,2
Parma,2010/2011,3,1
Palermo,2010/2011,3,2
Milan,2010/2011,0,2
Chievo Verona,2010/2011,0,3
Fiorentina,2010/2011,2,0
Cesena,2010/2011,1,1
Bari,2010/2011,2,1
Lazio,2010/2011,0,0
Bologna,2010/2011,1,1
Brescia,2010/2011,1,1
Napoli,2010/2011,2,0
Cagliari,2010/2011,0,1
Inter,2010/2011,0,3
Catania,2010/2011,1,1
Genoa,2010/2011,1,0
Juventus,2010/2011,2,1
Lecce,2010/2011,0,1
Juventus,2010/2011,1,3
Sampdoria,2010/2011,2,0
Fiorentina,2010/2011,1,1
Roma,2010/2011,5,3
Catania,2010/2011,1,0
Chievo Verona,2010/2011,1,1
Milan,2010/2011,1,1
Palermo,2010/2011,2,4
Cesena,2010/2011,2,0
Bari,2010/2011,2,0
Udinese,2010/2011,0,3
Inter,2010/2011,1,0
Fiorentina,2010/2011,2,4
Parma,2010/2011,4,0
Napoli,2010/2011,0,2
Lecce,2010/2011,3,2
Lazio,2010/2011,0,2
Bologna,2010/2011,3,1
Genoa,2010/2011,0,0
Chievo Verona,2010/2011,4,1
Brescia,2010/2011,0,0
Cagliari,2010/2011,1,0
Bari,2010/2011,1,0
Catania,2010/2011,1,0
Sampdoria,2010/2011,0,0
Roma,2010/2011,4,3
Palermo,2010/2011,1,0
Milan,2010/2011,1,2
Juventus,2010/2011,2,0
Cesena,2010/2011,2,2
Genoa,2010/2011,2,1
Parma,2010/2011,2,2
Lecce,2010/2011,2,2
Inter,2010/2011,0,2
Chievo Verona,2010/2011,1,0
Napoli,2010/2011,3,0
Fiorentina,2010/2011,1,1
Bologna,2010/2011,0,2
Udinese,2010/2011,0,7
Lazio,2010/2011,1,0
Roma,2010/2011,1,2
Parma,2010/2011,0,0
Genoa,2010/2011,5,2
Milan,2010/2011,0,1
Palermo,2010/2011,2,0
Cesena,2010/2011,2,3
Catania,2010/2011,3,0
Cagliari,2010/2011,2,2
Brescia,2010/2011,0,0
Bari,2010/2011,1,0
Udinese,2010/2011,0,4
Napoli,2010/2011,1,3
Sampdoria,2010/2011,1,0
Juventus,2010/2011,2,2
Bologna,2010/2011,0,1
Lazio,2010/2011,2,0
Fiorentina,2010/2011,0,1
Bari,2010/2011,1,1
Palermo,2010/2011,1,0
Inter,2010/2011,1,1
Juventus,2010/2011,0,4
Napoli,2010/2011,1,2
Bologna,2010/2011,2,2
Genoa,2010/2011,1,1
Inter,2010/2011,1,2
Catania,2010/2011,1,1
Lazio,2010/2011,1,2
Brescia,2010/2011,0,1
Lecce,2010/2011,1,0
Cagliari,2010/2011,0,0
Cagliari,2010/2011,2,1
Roma,2010/2011,2,2
Parma,2010/2011,0,1
Brescia,2010/2011,2,1
Milan,2010/2011,1,0
Genoa,2010/2011,1,1
Lecce,2010/2011,1,0
Catania,2010/2011,2,0
Chievo Verona,2010/2011,1,2
Cesena,2010/2011,1,0
Lazio,2010/2011,4,3
Palermo,2010/2011,4,0
Udinese,2010/2011,2,0
Juventus,2010/2011,0,2
Inter,2010/2011,3,0
Sampdoria,2010/2011,0,0
Fiorentina,2010/2011,2,2
Cagliari,2010/2011,0,1
Bologna,2010/2011,3,1
Bari,2010/2011,1,2
Roma,2010/2011,1,2
Catania,2010/2011,1,1
Parma,2010/2011,2,0
Napoli,2010/2011,0,2
Milan,2010/2011,1,2
Genoa,2010/2011,3,2
Lecce,2010/2011,1,2
Chievo Verona,2010/2011,2,0
Brescia,2010/2011,1,1
Cesena,2010/2011,2,2
Juventus,2010/2011,0,0
